Timestamp,ROI Index,Frequency (Hz)
4957242,1,8.151870728
4971528,1,8.121758461
4985814,1,7.51376152
5000100,1,8.071363449
5014386,1,8.099441528
5028672,1,8.068029404
5042958,1,7.996666908
5057244,1,7.992298126
5071530,1,7.992492676
5085816,1,8.095657349
5100102,1,7.939662933
5114388,1,8.08681488
5128674,1,7.967784882
5142960,1,7.883960247
5157246,1,8.081781387
5171532,1,7.772423744
5185818,1,8.081482887
5200104,1,7.9974823
5214390,1,7.885014057
5228676,1,8.04566288
5242962,1,8.006085396
5257248,1,8.10084343
5271534,1,8.08193779
5285820,1,7.923326492
5300106,1,8.010720253
5314392,1,8.087193012
5328678,1,8.083520889
5342964,1,8.0679636
5357250,1,7.865368366
5371536,1,7.997445107
5385822,1,7.721476555
5400108,1,8.021666527
5414394,1,8.031303883
5428680,1,7.996028423
5442966,1,7.96446085
5457252,1,8.026538849
5471538,1,7.912718296
5485824,1,7.842152596
5500110,1,8.029288292
5514396,1,7.946521282
5528682,1,7.967123032
5542968,1,7.806166172
5557254,1,7.981497765
5571540,1,7.969035625
5585826,1,8.026224136
5600112,1,8.071928024
5614398,1,8.075238705
5628684,1,7.837471485
5642970,1,7.933261871
5657256,1,8.066783905
5671542,1,7.80889225
5685828,1,8.077829361
5700114,1,7.949011326
5714400,1,7.974832535
5728686,1,8.045801163
5742972,1,8.024215698
5757258,1,7.958123684
5771544,1,7.932465553
5785830,1,7.883757591
5800116,1,7.867550373
5814402,1,8.090367317
5828688,1,8.091242313
5842974,1,7.277977943
5857260,1,7.992305279
5871546,1,8.034430504
5885832,1,8.113769054
5900118,1,7.952296734
5914404,1,7.930987835
5928690,1,8.055455208
5942976,1,8.050997734
5957262,1,8.104162216
5971548,1,7.948284626
5985834,1,7.247639179
6000120,1,7.929353714
6014406,1,8.108565807
6028692,1,7.828943253
6042978,1,8.028547287
6057264,1,8.063368797
6071550,1,7.733658552
6085836,1,7.862539768
6100122,1,8.009370804
6114408,1,7.959427834
6128694,1,8.046149254
6142980,1,7.537516594
6157266,1,8.093300819
6171552,1,7.979514122
6185838,1,8.045660019
6200124,1,8.081799984
