Timestamp,ROI Index,Frequency (Hz)
4114368,1,8.532150269
4128654,1,7.863901138
4142940,1,8.537434578
4157226,1,8.505158424
4171512,1,8.54253006
4185798,1,8.501878738
4200084,1,8.310892582
4214370,1,8.457773209
4228656,1,8.513271332
4242942,1,8.470716476
4257228,1,8.521912575
4271514,1,8.407717705
4285800,1,8.54087162
4300086,1,8.400878906
4314372,1,8.431986809
4328658,1,8.526870728
4342944,1,8.411859512
4357230,1,7.874612093
4371516,1,8.50757885
4385802,1,8.445821762
4400088,1,8.520861626
4414374,1,8.452684402
4428660,1,8.340977669
4442946,1,8.27737999
4457232,1,8.477233887
4471518,1,8.17163825
4485804,1,8.324886322
4500090,1,8.463630676
4514376,1,8.364285469
4528662,1,7.88545084
4542948,1,8.428982735
4557234,1,8.440577507
4571520,1,8.362771988
4585806,1,8.332981586
4600092,1,8.438796997
4614378,1,8.498188019
4628664,1,8.363395691
4642950,1,8.424760818
4657236,1,8.412527084
4671522,1,8.460121155
4685808,1,8.523915291
4700094,1,8.407493591
4714380,1,8.453710556
4728666,1,8.495054245
4742952,1,8.325255871
4757238,1,8.487430573
4771524,1,8.072603226
4785810,1,8.495898247
4800096,1,8.493896484
4814382,1,8.324961185
4828668,1,8.325401783
4842954,1,8.33655262
4857240,1,8.476797104
4871526,1,8.382077217
4885812,1,8.459748268
4900098,1,8.481988907
4914384,1,8.524418831
4928670,1,8.340363979
4942956,1,8.34420681
4957242,1,8.371704102
4971528,1,8.468593597
4985814,1,8.468135834
5000100,1,8.339540482
5014386,1,8.335780144
5028672,1,8.309797287
5042958,1,8.324929714
5057244,1,8.363045692
5071530,1,8.515312195
5085816,1,8.33675766
5100102,1,8.459083557
5114388,1,8.429981232
5128674,1,8.40503788
5142960,1,8.530099869
5157246,1,8.328150749
5171532,1,8.336521149
5185818,1,8.499305725
5200104,1,8.294318199
5214390,1,8.422025681
5228676,1,8.300005913
5242962,1,8.392228127
5257248,1,8.433875084
5271534,1,8.421430588
5285820,1,8.420140266
5300106,1,8.430577278
5314392,1,8.526792526
5328678,1,8.490859032
5342964,1,8.381568909
5357250,1,8.215756416
5371536,1,8.412632942
5385822,1,8.467427254
5400108,1,8.379328728
5414394,1,8.493550301
5428680,1,8.498900414
5442966,1,8.396059036
5457252,1,8.431411743
5471538,1,8.230619431
5485824,1,8.441988945
5500110,1,8.505437851
5514396,1,8.468302727
5528682,1,8.371431351
5542968,1,8.316319466
5557254,1,8.462304115
5571540,1,8.505566597
5585826,1,8.452314377
5600112,1,8.390863419
5614398,1,8.198566914
5628684,1,8.333726883
5642970,1,8.479706764
5657256,1,8.426652908
5671542,1,8.483880043
5685828,1,8.492202759
5700114,1,8.441302299
5714400,1,8.431714058
5728686,1,8.493373871
5742972,1,8.356062889
5757258,1,8.479510307
5771544,1,8.396764755
5785830,1,8.43666172
5800116,1,8.50319767
5814402,1,8.4067173
5828688,1,8.461847305
5842974,1,8.524781227
5857260,1,8.48566246
5871546,1,8.297205925
5885832,1,8.396533966
5900118,1,7.920550585
5914404,1,8.438996315
5928690,1,8.381803513
5942976,1,8.482561111
5957262,1,8.473378181
5971548,1,8.298573971
5985834,1,8.284507751
6000120,1,8.385663033
6014406,1,8.494428635
6028692,1,8.426661491
6042978,1,8.290548801
6057264,1,8.430417061
6071550,1,8.403710365
6085836,1,8.522417068
6100122,1,8.285581589
6114408,1,8.511361122
6128694,1,8.466703415
6142980,1,8.285652161
6157266,1,8.384389877
6171552,1,8.187492371
6185838,1,8.384401321
6200124,1,8.466867447
6214410,1,7.856508493
6228696,1,8.40500927
6242982,1,8.509292603
6257268,1,8.38715744
6271554,1,8.340471745
6285840,1,8.195804596
6300126,1,8.432481766
6314412,1,8.310632706
6328698,1,8.200787544
6342984,1,8.365743637
6357270,1,8.474020958
6371556,1,8.257054329
6385842,1,8.330967426
6400128,1,8.484274864
6414414,1,8.372354507
6428700,1,8.4243927
6442986,1,8.45303154
6457272,1,8.361709595
6471558,1,8.471738815
6485844,1,8.44982338
6500130,1,8.296617985
6514416,1,8.361890793
6528702,1,8.467027664
6542988,1,8.32647419
6557274,1,8.097941399
6571560,1,8.481921196
6585846,1,8.284070015
6600132,1,8.317061901
6614418,1,8.437643051
6628704,1,8.395114899
6642990,1,8.362047195
6657276,1,8.394034386
6671562,1,8.317443371
6685848,1,8.496383667
6700134,1,8.317448139
6714420,1,8.512374878
6728706,1,8.309521675
6742992,1,7.894232988
6757278,1,8.299433231
6771564,1,7.862198353
6785850,1,8.065735817
6800136,1,8.297222137
6814422,1,8.459054947
6828708,1,8.434178352
6842994,1,8.425655365
6857280,1,8.329995155
6871566,1,8.481275558
6885852,1,8.510621071
6900138,1,8.298166275
6914424,1,8.360612869
6928710,1,8.41970253
6942996,1,8.325852394
6957282,1,8.318583965
6971568,1,8.368700027
6985854,1,8.473739624
7000140,1,8.513601303
7014426,1,8.412607193
7028712,1,8.399292946
7042998,1,8.382349014
7057284,1,8.415081978
7071570,1,7.850393295
7085856,1,8.425127983
7100142,1,8.503241539
7114428,1,8.500252724
7128714,1,8.430332184
7143000,1,8.354938984
7157286,1,8.466368675
7171572,1,8.31598711
7185858,1,8.37030983
7200144,1,8.375342369
7214430,1,8.456175804
7228716,1,8.272484303
7243002,1,7.884189844
7257288,1,8.324890614
7271574,1,8.426836014
7285860,1,8.314277649
7300146,1,8.433754921
7314432,1,8.339510918
7328718,1,8.428958893
7343004,1,8.48696804
7357290,1,8.476575851
7371576,1,8.316394806
7385862,1,8.315273762
7400148,1,8.507159233
7414434,1,8.349705696
7428720,1,8.456707001
7443006,1,8.316933155
7457292,1,8.50254631
7471578,1,8.517374039
7485864,1,8.439723015
7500150,1,8.306720734
7514436,1,8.454773903
7528722,1,8.493498802
7543008,1,8.432011604
7557294,1,8.310325146
7571580,1,8.458958626
7585866,1,8.432745934
7600152,1,8.309952736
7614438,1,8.15212059
7628724,1,8.15813446
7643010,1,8.378714561
7657296,1,8.439303398
7671582,1,8.309926033
7685868,1,8.487405777
7700154,1,8.436327934
7714440,1,7.868521929
7728726,1,8.471159935
7743012,1,8.300057411
7757298,1,8.510504723
7771584,1,8.488327026
7785870,1,8.300999641
7800156,1,7.869058847
7814442,1,8.501811028
7828728,1,7.800514221
7843014,1,8.481798172
7857300,1,8.497086525
7871586,1,8.338960171
7885872,1,8.522475243
7900158,1,8.327900887
7914444,1,8.508030891
7928730,1,8.51070118
7943016,1,8.371931076
7957302,1,8.325361252
7971588,1,8.469912529
7985874,1,8.439383507
8000160,1,8.319338322
8014446,1,8.326210976
8028732,1,8.476472855
8043018,1,8.543066978
8057304,1,8.387241364
8071590,1,8.428695679
8085876,1,8.471401215
8100162,1,8.458726883
8114448,1,8.278010368
8128734,1,8.378641129
8143020,1,8.277569771
8157306,1,8.445748329
8171592,1,8.497422218
8185878,1,8.36498642
8200164,1,8.383893967
8214450,1,8.375171661
8228736,1,8.312795162
8243022,1,8.394080162
8257308,1,8.527190208
8271594,1,8.515244484
8285880,1,8.387994766
8300166,1,8.383857727
8314452,1,8.312175751
8328738,1,8.53151989
8343024,1,8.514266014
8357310,1,8.302378178
8371596,1,8.357444763
